Row_number	Gene_Name	File_Location
263	group_11333	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL263
264	group_11303	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL264
265	group_11301	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL265
266	group_11300	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL266
267	group_11299	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL267
268	hdeD	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL268
269	group_11284	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL269
270	group_11283	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL270
271	group_11281	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL271
272	group_11280	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL272
273	group_11279	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL273
274	group_11265	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL274
275	engB	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL275
276	group_11254	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL276
277	group_11253	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL277
278	group_11223	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL278
279	group_11206	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL279
280	group_11192	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL280
281	group_11191	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL281
282	group_11190	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL282
283	group_11171	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL283
284	group_11150	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL284
285	group_11149	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL285
286	group_11112	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL286
287	group_11098	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL287
288	group_11097	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL288
289	group_11096	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL289
290	group_11095	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL290
291	group_11064	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL291
292	group_11062	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL292
293	grpE	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL293
294	group_11041	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL294
295	group_10953	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL295
296	group_10951	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL296
297	group_10950	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL297
298	group_10949	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL298
299	group_10946	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL299
300	group_10876	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL300
301	group_10839	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL301
302	group_10835	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL302
303	group_10834	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL303
304	group_10808	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL304
305	group_10802	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL305
306	group_10801	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL306
307	group_10800	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL307
308	group_10779	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL308
309	group_10778	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL309
310	group_10739	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL310
311	group_10737	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL311
312	group_10719	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL312
313	group_10716	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL313
314	group_10714	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL314
315	group_10707	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL315
316	group_10697	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL316
317	group_10691	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL317
318	group_10673	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL318
319	lolD	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL319
320	group_10599	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL320
321	group_10590	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL321
322	group_10589	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL322
323	group_10565	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL323
324	group_10564	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL324
325	group_10558	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL325
326	group_10557	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL326
327	group_10470	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL327
328	group_10465	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL328
